"IQ_self" "IQ_friend" "harmony" "VI_self" "VI_partner" "distance" "age" "int" "liking"
"1" 127 123 5.5 4 5 4 39 1 4
"2" 109 114 5.5 3 3 4 45 1 2
"3" 120 124 3.5 5 5 4 26 3 4
"4" 116 114 4.5 4 4 4 57 4 6
"5" 116 119 6 5 6 4 31 2 3
"6" 122 116 3.5 5 4 6 70 4 6
"7" 111 110 4 5 4 3 39 2 5
"8" 115 117 4 2 3 4 68 2 6
"9" 119 117 5.5 4 4 4 66 6 6
"10" 110 121 3.5 4 4 5 28 5 3
"11" 112 114 2.5 5 4 7 44 2 5
"12" 111 119 3 3 3 5 40 2 2
"13" 111 121 2.5 3 5 6 29 4 4
"14" 114 118 3 4 4 5 56 4 5
"15" 118 113 4 5 5 4 24 6 4
"16" 115 119 4 3 3 4 52 3 5
"17" 117 113 3.5 6 5 5 38 2 5
"18" 109 113 4.5 4 3 4 37 3 5
"19" 117 121 3.5 2 2 5 66 4 6
"20" 119 118 5 6 4 3 18 6 3
"21" 104 107 3 4 4 4 28 7 4
"22" 123 108 3 5 5 3 28 3 4
"23" 117 119 2.5 3 5 3 62 5 3
"24" 109 106 2 3 2 4 59 8 4
"25" 122 119 4 5 5 4 48 4 2
"26" 103 112 4 3 3 5 53 4 5
"27" 116 115 4.5 3 4 3 31 6 4
"28" 113 108 3 5 4 5 36 2 5
"29" 120 109 4 5 4 4 27 4 3
"30" 116 118 3.5 3 1 5 28 5 4
"31" 113 121 3.5 4 4 5 52 8 5
"32" 107 115 4.5 4 4 5 43 3 5
"33" 118 123 2 2 3 4 53 3 3
"34" 119 121 3 2 3 4 99 1 7
"35" 120 120 3 3 4 4 32 3 3
"36" 114 117 4 4 4 5 19 4 4
"37" 121 121 3 4 4 5 20 2 3
"38" 111 112 2.5 4 4 4 32 6 4
"39" 125 120 2.5 4 3 6 63 1 3
"40" 122 111 4.5 5 4 6 25 1 4
"41" 111 118 5 3 3 4 68 2 6
"42" 116 119 3.5 5 4 4 46 1 2
"43" 117 109 4.5 5 4 3 24 5 4
"44" 118 125 4 4 3 4 45 2 4
"45" 118 118 3 6 5 3 35 3 3
"46" 121 124 5.5 5 4 2 53 3 5
"47" 108 106 3 5 5 5 30 4 5
"48" 113 114 4.5 5 4 5 32 3 4
"49" 108 111 4 4 4 4 29 2 4
"50" 113 118 3 3 3 4 41 5 3
"51" 116 115 3.5 4 2 3 25 3 4
"52" 115 114 3 3 2 3 47 5 5
"53" 128 112 3.5 3 4 6 31 1 3
"54" 118 112 5.5 4 4 3 49 1 3
"55" 111 114 3 5 4 3 19 4 3
"56" 105 107 3.5 5 4 2 36 5 5
"57" 114 113 1.5 5 4 4 34 1 2
"58" 112 113 4 5 4 4 34 3 5
"59" 118 110 3.5 4 6 6 30 4 4
"60" 113 117 3.5 4 5 5 39 4 5
